id_concert,nom,salle,date_concert,heure,prix,genre
1,"Concert 1",27,"2023-05-01","20:00",25.00,
2,"Concert 2",25,"2023-05-02","19:30",30.50,"Pop"
3,"Concert 3",30,"2023-05-03","21:00",15.99,"Jazz"
4,"Concert 4",28,"2023-05-04","18:45",50.00,"Classical"
5,"Concert 5",26,"2023-05-05","20:30",40.00,"Hip Hop"
6,"Concert 6",31,"2023-05-06","19:00",35.75,"Electronic"
7,"Concert 7",26,"2023-05-07","22:15",20.00,"Indie"
8,"Concert 8",29,"2023-05-08","20:45",27.50,"Alternative"
9,"Concert 9",32,"2023-05-09","19:30",33.99,"Metal"
10,"Concert 10",24,"2023-05-10","21:30",22.00,"Folk"
11,"Concert 11",30,"2023-05-11","20:00",25.00,"Rock"
12,"Concert 12",24,"2023-05-12","19:45",28.50,"Pop"
13,"Concert 13",27,"2023-05-13","21:15",18.99,"Jazz"
14,"Concert 14",31,"2023-05-14","18:30",55.00,"Classical"
15,"Concert 15",25,"2023-05-15","20:45",42.00,"Hip Hop"
16,"Concert 16",29,"2023-05-16","19:15",37.75,"Electronic"
17,"Concert 17",26,"2023-05-17","22:30",23.00,"Indie"
18,"Concert 18",28,"2023-05-18","21:00",29.50,"Alternative"
19,"Concert 19",32,"2023-05-19","19:45",35.99,"Metal"
20,"Concert 20",27,"2023-05-20","20:15",24.00,"Folk"
